               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10269,            0.029677,            0.027641,           0.0011825,             0.24495,            0.000915,          0.00031385,            0.089347,            0.014778,              0.0257,            0.070732,            0.003252,            0.003252
                   1,            0.093467,            0.030428,            0.027094,           0.0014591,             0.27229,           0.0011874,          0.00038416,            0.087002,            0.014967,            0.025177,             0.04008,           0.0059334,           0.0059334
                   2,            0.087457,            0.029917,            0.026519,           0.0020815,             0.39273,            0.005043,           0.0010516,            0.085813,            0.014656,            0.024828,           0.0087678,           0.0079548,           0.0079548
                   3,            0.083381,            0.029575,            0.026288,           0.0026042,             0.49625,           0.0084152,           0.0020064,            0.085081,             0.01459,            0.024678,             0.00703,             0.00703,             0.00703
                   4,            0.081638,            0.029542,            0.026028,             0.53267,             0.21097,            0.056553,            0.015485,            0.082309,            0.016501,            0.025488,             0.00703,             0.00703,             0.00703
                   5,            0.079548,            0.030929,             0.02509,             0.55218,            0.076507,            0.031939,           0.0085681,            0.085537,            0.023001,            0.030412,             0.00604,             0.00604,             0.00604
                   6,            0.078595,            0.031927,            0.024441,             0.12952,             0.13756,            0.098629,            0.031961,            0.072556,            0.015469,            0.025005,             0.00505,             0.00505,             0.00505
                   7,            0.076399,            0.031148,            0.024208,            0.028853,             0.21793,            0.043941,            0.011829,            0.070375,             0.01589,            0.022881,             0.00406,             0.00406,             0.00406
                   8,            0.073557,            0.033104,            0.023684,            0.073553,             0.20989,            0.045795,            0.010383,            0.068259,            0.015679,            0.020298,             0.00307,             0.00307,             0.00307
                   9,            0.071975,            0.030191,            0.023298,             0.10251,             0.33963,            0.076107,            0.020378,            0.063786,            0.015948,            0.020638,             0.00208,             0.00208,             0.00208
                   0,             0.10269,            0.029677,            0.027641,           0.0011899,             0.23381,          0.00093831,          0.00032367,            0.089347,            0.014778,              0.0257,            0.070732,            0.003252,            0.003252
                   1,            0.093324,            0.030486,            0.027138,            0.001458,             0.27229,           0.0013508,          0.00041727,            0.086881,            0.014983,            0.025193,            0.040601,            0.006455,            0.006455
                   2,            0.087572,             0.02984,            0.026509,           0.0021958,             0.41272,           0.0037358,          0.00095317,             0.08514,            0.014961,            0.024858,            0.010339,           0.0095259,           0.0095259
                   3,            0.082908,            0.029427,            0.026252,           0.0019943,             0.35618,            0.004649,           0.0011059,            0.084952,            0.014624,            0.024425,            0.009406,            0.009406,            0.009406
                   4,            0.081354,            0.029309,            0.025962,             0.15058,             0.20902,            0.074746,            0.018724,            0.081917,            0.017093,            0.024583,            0.009406,            0.009406,            0.009406
                   5,            0.078799,            0.030643,            0.025094,             0.51585,            0.075734,            0.024389,           0.0057571,            0.085514,             0.01916,            0.029822,            0.009208,            0.009208,            0.009208
                   6,            0.077236,            0.031904,            0.024567,             0.53617,             0.24884,            0.065303,             0.01783,            0.074849,            0.016851,            0.027081,             0.00901,             0.00901,             0.00901
                   7,            0.074102,            0.031364,            0.024229,            0.010787,             0.19049,             0.01269,           0.0033385,            0.087066,            0.022055,            0.028118,            0.008812,            0.008812,            0.008812
                   8,            0.071971,            0.033024,            0.023915,            0.023775,            0.038189,           0.0070936,           0.0019126,             0.11118,           0.0085591,              0.0556,            0.008614,            0.008614,            0.008614
                   9,            0.069331,            0.030224,             0.02385,              0.6423,             0.17233,             0.12408,            0.042982,            0.078724,            0.014275,            0.025139,            0.008416,            0.008416,            0.008416
                  10,            0.069953,             0.02976,             0.02339,            0.055913,             0.27149,            0.079502,            0.020122,            0.079582,            0.016987,            0.029771,            0.008218,            0.008218,            0.008218
                  11,            0.067331,            0.030917,            0.021497,              0.1355,             0.37297,              0.1095,            0.031644,            0.066565,            0.015349,            0.021291,             0.00802,             0.00802,             0.00802
                  12,            0.064352,             0.03101,            0.020329,            0.059053,             0.31142,            0.055123,            0.017347,            0.080004,            0.015893,             0.03576,            0.007822,            0.007822,            0.007822
                  13,            0.065645,            0.030701,            0.020727,             0.14591,             0.40964,             0.09229,            0.023114,            0.077467,            0.016541,            0.031316,            0.007624,            0.007624,            0.007624
                  14,            0.064879,             0.03137,            0.020335,              0.1435,             0.28051,            0.091758,            0.023329,            0.071335,            0.013492,            0.021257,            0.007426,            0.007426,            0.007426
                  15,            0.063712,             0.03053,            0.019405,             0.13784,             0.27524,             0.12652,            0.034398,            0.058604,            0.015931,            0.017645,            0.007228,            0.007228,            0.007228
                  16,            0.060582,            0.031261,            0.017583,             0.10627,             0.32834,            0.073131,            0.019212,            0.075866,            0.016814,            0.033201,             0.00703,             0.00703,             0.00703
                  17,            0.058498,            0.030192,            0.017276,             0.18653,             0.33893,             0.17665,            0.056743,            0.052278,            0.014952,            0.014495,            0.006832,            0.006832,            0.006832
                  18,            0.059939,            0.030288,            0.015947,              0.3553,             0.52838,             0.31782,             0.10576,            0.052071,            0.014459,            0.010913,            0.006634,            0.006634,            0.006634
                  19,            0.057829,            0.030627,            0.013461,             0.18853,              0.3579,             0.17065,            0.061497,            0.061809,              0.0152,            0.023818,            0.006436,            0.006436,            0.006436
                  20,            0.058224,            0.030875,            0.014663,             0.25625,             0.37174,             0.22052,             0.06443,            0.053783,            0.015164,            0.016531,            0.006238,            0.006238,            0.006238
                  21,            0.057168,             0.03139,            0.013672,             0.24471,             0.50532,             0.29401,             0.10345,            0.049353,            0.014848,           0.0088275,             0.00604,             0.00604,             0.00604
                  22,            0.057672,            0.029109,            0.015501,             0.36111,             0.43799,             0.29125,             0.10061,            0.057606,            0.013285,            0.018637,            0.005842,            0.005842,            0.005842
                  23,            0.055985,            0.029274,            0.013261,             0.41095,             0.43512,             0.32579,             0.11861,            0.053464,            0.013751,             0.01589,            0.005644,            0.005644,            0.005644
                  24,             0.05622,            0.029007,            0.014001,             0.34823,             0.32282,              0.2907,            0.094727,            0.050727,            0.014793,           0.0061359,            0.005446,            0.005446,            0.005446
                  25,            0.057104,            0.028481,             0.01315,             0.23431,             0.36183,             0.15763,            0.056309,               0.088,            0.017596,            0.055972,            0.005248,            0.005248,            0.005248
                  26,            0.053941,            0.029675,            0.012902,             0.31637,             0.33293,             0.24341,            0.077586,            0.055298,            0.015049,           0.0067176,             0.00505,             0.00505,             0.00505
                  27,            0.053689,            0.027558,            0.011891,              0.3023,             0.52271,             0.32755,             0.11229,            0.049945,             0.01355,            0.010286,            0.004852,            0.004852,            0.004852
                  28,            0.055427,            0.027245,            0.014343,             0.29766,             0.49887,             0.30371,            0.095552,            0.054561,            0.013702,           0.0091458,            0.004654,            0.004654,            0.004654
                  29,            0.055051,            0.028399,            0.012687,             0.35918,             0.56341,             0.37262,              0.1378,             0.04646,            0.012756,           0.0080043,            0.004456,            0.004456,            0.004456
                  30,            0.053343,            0.028181,            0.011082,             0.35787,             0.56238,             0.38672,             0.14187,            0.048416,            0.012861,            0.013887,            0.004258,            0.004258,            0.004258
                  31,            0.053508,            0.029241,            0.010833,             0.37628,             0.58833,             0.42573,              0.1689,             0.04529,            0.012737,           0.0074281,             0.00406,             0.00406,             0.00406
                  32,            0.051518,            0.028232,            0.010972,             0.36883,             0.46889,             0.39452,             0.15022,             0.04649,            0.013037,           0.0052201,            0.003862,            0.003862,            0.003862
                  33,            0.050048,            0.027029,            0.011392,             0.50019,             0.43849,             0.36146,             0.15099,            0.052942,            0.013096,            0.023005,            0.003664,            0.003664,            0.003664
                  34,             0.05061,            0.026876,             0.01018,             0.36358,             0.46429,             0.35653,             0.11533,            0.049462,            0.014226,            0.009549,            0.003466,            0.003466,            0.003466
                  35,            0.051226,            0.027404,            0.010819,             0.48661,             0.48368,             0.42404,             0.15792,            0.057842,            0.013085,            0.022591,            0.003268,            0.003268,            0.003268
                  36,            0.050802,            0.029202,           0.0095667,             0.49032,             0.51204,             0.43795,             0.18316,            0.048223,            0.012835,            0.015832,             0.00307,             0.00307,             0.00307
                  37,            0.050457,            0.029795,            0.010021,             0.55654,             0.53937,             0.51452,             0.21717,            0.048415,            0.013169,            0.010836,            0.002872,            0.002872,            0.002872
                  38,            0.048851,            0.026813,            0.010268,             0.46893,              0.5023,             0.42628,             0.17297,            0.050606,            0.012377,            0.027605,            0.002674,            0.002674,            0.002674
                  39,            0.048988,            0.027682,           0.0092448,             0.44297,             0.55744,              0.3774,             0.16059,            0.056863,            0.012954,            0.027521,            0.002476,            0.002476,            0.002476
                  40,            0.048366,            0.028021,           0.0096454,             0.38047,             0.58884,             0.39956,             0.14906,            0.046977,            0.012149,            0.008355,            0.002278,            0.002278,            0.002278
                  41,            0.049745,            0.027833,            0.010561,             0.37614,             0.59052,              0.4042,             0.15953,            0.045691,            0.013441,            0.010057,             0.00208,             0.00208,             0.00208
                  42,            0.047408,            0.026985,           0.0078091,             0.38427,             0.53709,             0.40567,             0.16719,            0.045408,            0.012969,           0.0082839,            0.001882,            0.001882,            0.001882
                  43,            0.047013,            0.026566,            0.010742,             0.33486,             0.59246,             0.40906,             0.16248,            0.043664,            0.012281,           0.0068913,            0.001684,            0.001684,            0.001684
                  44,            0.048844,            0.026408,           0.0095423,              0.5359,             0.58237,             0.52242,             0.21336,            0.045605,            0.012388,           0.0061788,            0.001486,            0.001486,            0.001486
                  45,            0.046539,            0.026408,           0.0081585,             0.45026,             0.63555,             0.46924,             0.19025,            0.043363,            0.012102,           0.0072574,            0.001288,            0.001288,            0.001288
                  46,            0.045944,             0.02623,           0.0092668,             0.41528,             0.60582,             0.43379,              0.1725,            0.047984,            0.012399,            0.011118,             0.00109,             0.00109,             0.00109
                  47,            0.047083,            0.026666,           0.0083355,             0.36062,             0.62648,             0.43011,             0.16311,            0.045205,            0.013327,           0.0043439,            0.000892,            0.000892,            0.000892
                  48,            0.047907,            0.026482,           0.0079612,             0.44976,             0.67773,             0.49331,             0.21344,              0.0439,            0.012395,           0.0036477,            0.000694,            0.000694,            0.000694
                  49,            0.047165,            0.026932,           0.0070393,             0.45237,             0.67121,             0.51555,             0.22268,            0.042252,            0.012444,           0.0043738,            0.000496,            0.000496,            0.000496
