               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099143,            0.029708,            0.028288,             0.21611,             0.18599,             0.11277,            0.036492,            0.078071,            0.015596,            0.022574,            0.070732,            0.003252,            0.003252
                   1,            0.070469,            0.030674,            0.020992,             0.41224,             0.34686,             0.29201,             0.12009,            0.064005,            0.015012,            0.012348,            0.039428,           0.0052815,           0.0052815
                   2,            0.065013,            0.028348,             0.01332,             0.55028,              0.3731,              0.3427,             0.14964,            0.063548,            0.012661,           0.0099072,           0.0068039,           0.0059909,           0.0059909
                   3,            0.056538,            0.027417,           0.0092592,             0.71103,             0.55321,             0.59646,             0.26532,            0.054341,            0.012115,           0.0056854,             0.00406,             0.00406,             0.00406
                   4,            0.053599,            0.025215,           0.0074252,             0.46693,             0.68487,             0.49534,             0.25213,            0.050253,            0.011271,           0.0072579,             0.00406,             0.00406,             0.00406
                   0,            0.099143,            0.029708,            0.028288,               0.217,             0.19331,             0.11734,            0.037523,            0.078071,            0.015596,            0.022574,            0.070732,            0.003252,            0.003252
                   1,            0.070373,            0.030445,            0.020663,             0.37277,             0.33797,             0.25541,             0.10196,            0.064563,             0.01438,              0.0117,             0.04008,           0.0059334,           0.0059334
                   0,            0.098974,            0.030325,            0.028139,             0.21436,             0.20089,             0.11883,            0.041468,            0.075364,            0.016066,            0.023003,            0.070732,            0.003252,            0.003252
                   1,            0.071276,            0.031117,            0.021179,             0.34017,             0.37506,             0.29665,             0.12128,             0.06653,            0.013885,            0.018557,             0.04008,           0.0059334,           0.0059334
                   2,            0.063972,            0.026998,            0.013382,             0.46036,             0.44474,             0.39441,              0.1659,            0.062895,            0.012484,           0.0057825,           0.0087678,           0.0079548,           0.0079548
                   3,             0.05898,            0.024914,            0.010528,             0.50125,             0.52084,             0.44605,             0.19882,            0.062713,            0.011747,           0.0056576,             0.00703,             0.00703,             0.00703
                   4,            0.054827,            0.023765,           0.0077473,             0.46614,             0.62779,             0.58798,             0.25337,             0.05234,            0.011238,           0.0050391,             0.00703,             0.00703,             0.00703
                   5,            0.049946,            0.024664,            0.008859,             0.57046,             0.49159,             0.52506,             0.24956,            0.054357,             0.01033,           0.0065854,             0.00604,             0.00604,             0.00604
                   6,            0.047551,             0.02436,           0.0062729,             0.68511,             0.71281,             0.72645,             0.38721,            0.042515,            0.010069,           0.0064729,             0.00505,             0.00505,             0.00505
                   7,            0.043691,            0.023206,           0.0041532,             0.71903,             0.73664,             0.75824,             0.41692,            0.039617,            0.010009,           0.0085145,             0.00406,             0.00406,             0.00406
                   8,            0.042543,            0.024102,           0.0052476,             0.71593,             0.73095,             0.76064,             0.43846,            0.039145,           0.0096033,            0.008898,             0.00307,             0.00307,             0.00307
                   9,            0.040112,            0.021562,           0.0042416,             0.73842,             0.76011,             0.79567,             0.47156,            0.038877,           0.0091835,           0.0075263,             0.00208,             0.00208,             0.00208
